entry	expected_path	archive	use	github_upload
bert2_flash_attn2_patch	model/local_models/bert2_flash_attn2_patch	gamil_model_weights_v1.tar.zst	base tokenizer/backbone reference	no
viralm_o_teacher	model/local_models/staged_models/viralm-o	gamil_model_weights_v1.tar.zst	staged original teacher	no
viralm_r_teacher	model/local_models/staged_models/viralm-r	gamil_model_weights_v1.tar.zst	staged Realm-Rank teacher	no
viralm_o_6l_meanpool_kd	checkpoint/local_checkpoints/gamil_six_model/models/viralm_o_6l_meanpool_kd	gamil_model_weights_v1.tar.zst	final KD mean-pool student	no
viralm_r_6l_meanpool_kd	checkpoint/local_checkpoints/gamil_six_model/models/viralm_r_6l_meanpool_kd	gamil_model_weights_v1.tar.zst	final KD mean-pool student	no
viralm_o_6l_gated_mil_kd	checkpoint/local_checkpoints/gamil_six_model/models/viralm_o_6l_gated_mil_kd	gamil_model_weights_v1.tar.zst	final KD gated MIL student	no
viralm_r_6l_gated_mil_kd	checkpoint/local_checkpoints/gamil_six_model/models/viralm_r_6l_gated_mil_kd	gamil_model_weights_v1.tar.zst	final KD gated MIL student	no
viralm_o_12l_gated_mil	checkpoint/local_checkpoints/gamil_six_model/models/viralm_o_12l_gated_mil	gamil_model_weights_v1.tar.zst	final supervised gated MIL teacher variant	no
viralm_r_12l_gated_mil	checkpoint/local_checkpoints/gamil_six_model/models/viralm_r_12l_gated_mil	gamil_model_weights_v1.tar.zst	final supervised gated MIL teacher variant	no
