entry	expected_path	archive	selected_checkpoint	selection_metric	use	github_upload
viralm_r_6l_gated_mil_kd	checkpoint/local_checkpoints/gamil_six_model/models/viralm_r_6l_gated_mil_kd	gamil_model_weights_v1.tar.zst	best_mil_model.pt	seq_f1=0.894996, epoch=5	Final 6-layer ViraLM-R gated MIL KD model; epoch checkpoint files excluded from release archive	no
viralm_r_6l_meanpool_kd	checkpoint/local_checkpoints/gamil_six_model/models/viralm_r_6l_meanpool_kd	gamil_model_weights_v1.tar.zst	pytorch_model.bin	eval_f1=0.8215085884988798, epoch=5	Final 6-layer ViraLM-R meanpool KD model; optimizer/checkpoint-* states excluded from release archive	no
viralm_r_12l_gated_mil	checkpoint/local_checkpoints/gamil_six_model/models/viralm_r_12l_gated_mil	gamil_model_weights_v1.tar.zst	best_mil_model.pt	seq_f1=0.915903, epoch=3	Final 12-layer ViraLM-R gated MIL model; epoch checkpoint files excluded from release archive	no
viralm_r_staged	model/local_models/staged_models/viralm-r	gamil_model_weights_v1.tar.zst	pytorch_model.bin	eval_f1=0.8651515151515151, epoch=5	Staged ViraLM-R model for teacher/reference evaluation; optimizer/checkpoint-* states excluded from release archive	no
viralm_o_staged	model/local_models/staged_models/viralm-o	gamil_model_weights_v1.tar.zst	pytorch_model.bin	not_applicable	Staged ViraLM-O model for teacher/reference evaluation	no
